,mileage,s_max,s_min
900,38.37182783,1,-1
901,32.34932796,1,-1
902,32.26247759,1,-0.999201478
903,26.07970551,0.789787412,-0.998363228
904,34.71243288,1.004612827,-1
905,29.70930457,1,-1.011320779
906,29.90313183,1,-1.025539363
907,29.86064328,1,-0.999999855
908,32.47580996,1,-1
909,35.19676085,1,-1
910,23.14053119,1,-1
911,31.37679926,1,-1
912,25.00465177,1,-1
913,33.52559187,1,-0.942571843
914,31.27158258,0.995809833,-1
915,31.88378848,1,-1
916,35.76579478,1,-1
917,30.73505521,1,-1.017746968
918,26.83656889,1,-1.000787844
919,28.882343,1,-1.000636023
920,30.98719376,1,-0.907351973
921,30.4851889,1,-1
922,26.16433899,1,-1
923,32.18670303,1,-1
924,32.46001119,1,-1
925,30.62345576,1,-1
926,36.37514385,1,-1
927,36.71480773,1,-1
928,29.99999194,1,-1
929,32.47406971,1,-1
930,36.34919821,1,-1
931,26.19585763,1,-0.970484905
932,32.32779006,0.94106182,-0.888112382
933,31.42534558,0.946024753,-1
934,29.85424975,1,-1
935,28.32310559,1,-1
936,30.51857055,1,-1
937,24.68478636,1,-1
938,33.47111625,0.908543407,-0.999999129
939,27.85034715,1,-1
940,36.93173594,1,-1
941,23.86588566,1,-1
942,26.42591923,1,-0.999999516
943,32.61669554,1,-1.000242664
944,30.83753713,1,-0.755686068
945,31.87378788,1,-1
946,31.09637227,1,-1.000745209
947,31.55178891,1,-1
948,30.28555826,1,-1
949,33.86185968,1,-1
950,28.72339426,1,-0.948535886
